Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
Female,No,No,Yes,28,No,No,No,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),108.73,2413.5
Female,No,No,No,43,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet service,One year,No,Credit card (automatic),125.27,1679.11
Female,No,No,Yes,72,No,No,No,Yes,Yes,No,No internet service,No,No,Two year,No,Bank transfer (automatic),48.27,5494.85
Female,No,No,Yes,72,Yes,Yes,No,Yes,No internet service,Yes,Yes,No internet service,No,One year,Yes,Credit card (automatic),87.67,2580.55
Male,No,Yes,No,72,No,Yes,DSL,No,No,No internet service,No,No,No internet service,One year,Yes,Mailed check,71.56,6656.65
Female,Yes,Yes,Yes,40,Yes,No phone service,Fiber optic,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),57.93,1217.79
Female,No,No,No,44,No,Yes,No,No internet service,No internet service,No internet service,Yes,Yes,No,One year,No,Credit card (automatic),50.81,6757.52
Male,Yes,No,Yes,12,No,No phone service,No,No internet service,No,No internet service,No,No,No,Two year,No,Credit card (automatic),51.89,5783.11
Female,Yes,Yes,Yes,31,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,One year,No,Electronic check,111.46,3586.74
Male,No,Yes,Yes,56,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,Yes,No,One year,Yes,Credit card (automatic),85.76,2542.09
Male,Yes,No,Yes,4,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No,No internet service,Two year,No,Bank transfer (automatic),41.03,1968.11
Male,Yes,Yes,No,39,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No internet service,No internet service,Two year,No,Electronic check,59.9,6611.29
Female,Yes,Yes,Yes,28,No,Yes,No,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),97.52,3272.31
